,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
254,Plattsburgh City,"19,672",39,0.0,,3,4,32,483,79,396,8,
255,Pleasantville Village,"7,100",0,0.0,,0,0,0,22,1,21,0,0.0
256,Port Byron Village,"1,274",0,0.0,,0,0,0,0,0,0,0,0.0
257,Port Chester Village,"29,328",48,0.0,,2,19,27,572,67,483,22,0.0
258,Port Dickinson Village,"1,602",0,0.0,,0,0,0,31,0,31,0,0.0
259,Port Jervis,"8,689",15,1.0,,3,3,8,284,67,214,3,3.0
260,Portville Village,997,0,0.0,,0,0,0,8,1,7,0,0.0
261,Potsdam Village,"9,613",8,0.0,,1,0,7,190,17,168,5,
262,Poughkeepsie,"30,778",286,7.0,,16,100,163,787,189,589,9,
263,Poughkeepsie Town,"43,866",39,1.0,,1,12,25,"1,339",125,"1,203",11,
264,Pound Ridge Town,"5,200",3,0.0,,0,0,3,33,15,18,0,
265,Pulaski Village,"2,354",1,0.0,,0,0,1,57,12,44,1,0.0
266,Quogue Village,977,0,0.0,,0,0,0,41,13,27,1,0.0
267,Ramapo Town,"87,204",57,2.0,,5,9,41,567,88,466,13,
268,Red Hook Village,"1,947",1,0.0,,0,0,1,30,6,24,0,0.0
269,Rensselaer City,"9,517",19,0.0,,4,3,12,159,44,108,7,2.0
270,Rhinebeck Village,"2,635",2,0.0,,0,0,2,42,0,41,1,0.0
271,Riverhead Town,"33,789",64,0.0,,3,26,35,922,160,729,33,0.0
272,Rochester,"210,562","2,107",42.0,,92,918,"1,055","10,051","2,587","6,855",609,132.0
273,Rockville Centre Village,"24,129",22,1.0,,1,11,9,271,30,223,18,0.0
274,Rome,"32,557",47,4.0,,0,23,20,662,157,470,35,2.0
275,Rosendale Town,"6,026",1,0.0,,0,0,1,60,16,44,0,
276,Rotterdam Town,"29,146",33,2.0,,4,16,11,829,109,700,20,4.0
277,Rye Brook Village,"9,480",2,0.0,,0,2,0,88,9,77,2,0.0
278,Sag Harbor Village,"2,279",3,0.0,,0,1,2,71,17,53,1,0.0
279,Salamanca,"5,691",18,0.0,,1,2,15,155,38,105,12,
280,Sands Point Village,"2,715",0,0.0,,0,0,0,18,4,13,1,0.0
281,Saranac Lake Village,"5,369",26,1.0,,1,1,23,150,30,115,5,
282,Saratoga Springs,"27,081",33,1.0,,3,8,21,642,84,550,8,
283,Saugerties Town,"19,318",15,0.0,,3,5,7,319,51,268,0,0.0
284,Scarsdale Village,"17,564",1,0.0,,0,0,1,184,24,153,7,
285,Schenectady,"66,041",607,8.0,,31,203,365,"2,800",769,"1,878",153,
286,Schodack Town,"11,573",4,0.0,,0,1,3,97,25,70,2,
287,Schoharie Village,872,0,0.0,,0,0,0,0,0,0,0,0.0
288,Scotia Village,"7,700",5,1.0,,0,1,3,126,14,112,0,
289,Seneca Falls Town,"2,362",12,0.0,,0,1,11,292,49,238,5,
290,Shandaken Town,"3,043",4,0.0,,0,0,4,62,17,44,1,
291,Shawangunk Town,"14,205",3,0.0,,0,0,3,80,20,60,0,
292,Shelter Island Town,"2,412",3,0.0,,0,0,3,41,2,39,0,0.0
293,Sherburne Village,"1,351",1,0.0,,0,0,1,15,7,8,0,0.0
294,Sherrill,"3,064",4,0.0,,0,0,4,37,14,23,0,
295,Shortsville Village,"1,437",0,0.0,,0,0,0,0,0,0,0,0.0
296,Sidney Village,"3,805",7,0.0,,4,1,2,185,21,161,3,
297,Skaneateles Village,"2,450",0,0.0,,0,0,0,10,2,8,0,0.0
298,Sleepy Hollow Village,"9,996",8,1.0,,0,1,6,58,9,47,2,0.0
299,Sodus Village,"1,805",0,0.0,,0,0,0,24,2,22,0,
300,Solvay Village,"6,487",19,0.0,,0,6,13,186,38,142,6,0.0
301,Southampton Town,"50,603",44,0.0,,6,16,22,"1,020",219,752,49,1.0
302,Southampton Village,"3,161",3,0.0,,0,1,2,118,9,105,4,
303,South Glens Falls Village,"3,640",6,0.0,,1,1,4,114,17,95,2,
304,Southold Town,"19,963",12,0.0,,1,5,6,343,70,271,2,
305,Spring Valley Village,"32,288",132,2.0,,9,34,87,404,53,335,16,
306,Stillwater Town,"6,587",1,0.0,,0,0,1,24,4,18,2,1.0
307,St. Johnsville Village,"1,691",3,0.0,,0,0,3,47,8,39,0,
308,Stony Point Town,"15,307",12,0.0,,0,1,11,107,18,83,6,
309,Suffern Village,"10,886",9,0.0,,0,1,8,60,11,48,1,0.0
310,Syracuse,"143,834","1,192",21.0,,75,400,696,"6,473","1,781","4,298",394,57.0
311,Tarrytown Village,"11,449",6,0.0,,0,3,3,110,12,94,4,0.0
312,Ticonderoga Town,"4,982",11,0.0,,4,0,7,94,23,71,0,
313,Tonawanda,"14,987",34,0.0,,0,4,30,315,24,289,2,4.0
314,Tonawanda Town,"58,082",118,1.0,,5,26,86,"1,099",190,882,27,1.0
315,Troy,"49,898",371,1.0,,14,145,211,"1,985",593,"1,305",87,5.0
316,Trumansburg Village,"1,820",2,0.0,,1,1,0,66,6,58,2,
317,Tuckahoe Village,"6,578",0,0.0,,0,0,0,35,7,27,1,0.0
318,Tupper Lake Village,"3,642",3,0.0,,0,0,3,83,22,59,2,
319,Tuxedo Park Village,615,0,0.0,,0,0,0,0,0,0,0,0.0
320,Ulster Town,"12,195",14,0.0,,3,2,9,437,25,410,2,
321,Utica,"61,686",361,7.0,,27,102,225,"2,528",449,"1,997",82,
322,Vestal Town,"27,980",16,0.0,,2,6,8,571,39,523,9,
323,Walden Village,"6,887",18,1.0,,2,1,14,142,13,124,5,
324,Wallkill Town,"27,940",40,0.0,,3,16,21,767,91,650,26,1.0
325,Walton Village,"3,012",6,0.0,,1,0,5,68,18,50,0,
326,Warsaw Village,"3,453",6,0.0,,1,0,5,78,5,73,0,0.0
327,Washingtonville Village,"5,828",2,0.0,,0,1,1,58,5,51,2,0.0
328,Waterford Town and Village,"8,392",4,0.0,,0,0,4,59,6,52,1,0.0
329,Waterloo Village,"5,175",11,0.0,,0,3,8,194,23,169,2,
330,Watertown,"28,179",109,0.0,,12,16,81,"1,165",169,953,43,
331,Watervliet,"10,245",26,1.0,,3,11,11,242,58,163,21,
332,Watkins Glen Village,"1,862",6,0.0,,0,0,6,92,10,80,2,
333,Waverly Village,"4,337",5,0.0,,0,1,4,54,9,41,4,
334,Webster Town and Village,"43,777",21,0.0,,2,3,16,469,101,361,7,
335,Weedsport Village,"1,797",0,0.0,,0,0,0,25,5,20,0,0.0
336,Wellsville Village,"4,574",11,0.0,,1,0,10,164,32,129,3,1.0
337,Westhampton Beach Village,"1,732",2,0.0,,0,0,2,44,4,37,3,0.0
338,West Seneca Town,"44,821",35,1.0,,1,9,24,896,166,710,20,0.0
339,Whitehall Village,"2,604",6,0.0,,0,0,6,62,12,49,1,
340,White Plains,"57,559",78,1.0,,3,28,46,"1,232",77,"1,134",21,
341,Whitesboro Village,"3,733",4,0.0,,0,0,4,36,14,21,1,0.0
342,Whitestown Town,"9,141",0,0.0,,0,0,0,77,13,61,3,0.0
343,Woodbury Town,"10,685",3,0.0,,0,2,1,541,9,529,3,
344,Woodridge Village,829,7,0.0,,0,0,7,17,8,9,0,0.0
345,Woodstock Town,"5,931",2,0.0,,0,0,2,58,13,45,0,
346,Yonkers,"199,134","1,036",6.0,,25,390,615,"2,368",470,"1,662",236,10.0
347,Yorktown Town,"36,643",15,0.0,,0,2,13,334,45,287,2,
348,1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,
349,2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,
350,3 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,
